,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Short,College,Life Sciences,Medium,Female,Very High,High,2,Sales Executive,High,Single,High,High,8,Yes,Low,Excellent,Low,0,7 to 10 years,0,Bad,6 to 9 years,4 to 7 years,None,4 to 7 years
1,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Long,Below College,Life Sciences,High,Male,Average,Medium,2,Research Scientist,Medium,Married,High,Very High,1,No,Very High,Outstanding,Very High,1,7 to 10 years,3,Better,Over 9 years,4 to 7 years,1 year,4 to 7 years
2,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Short,College,Other,Very High,Male,Very High,Medium,1,Laboratory Technician,Medium,Single,Low,Low,6,Yes,High,Excellent,Medium,0,7 to 10 years,3,Better,<= 3 years,<= 2 years,None,<= 2 years
3,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Normal,Master,Life Sciences,Very High,Female,Average,High,1,Research Scientist,High,Married,Low,Very High,1,Yes,Low,Excellent,High,0,7 to 10 years,3,Better,6 to 9 years,4 to 7 years,2 to 3 years,<= 2 years
4,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Below College,Medical,Low,Male,Low,High,1,Laboratory Technician,High,Married,Average,High,9,No,Low,Excellent,Very High,1,<= 6 years,3,Better,<= 3 years,<= 2 years,2 to 3 years,<= 2 years
5,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Short,College,Life Sciences,Very High,Male,High,High,1,Laboratory Technician,High,Single,Average,Average,0,No,Average,Excellent,High,0,7 to 10 years,2,Good,6 to 9 years,4 to 7 years,2 to 3 years,4 to 7 years
6,Old,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Medical,High,Female,High,Very High,1,Laboratory Technician,Very High,Married,Low,Average,4,Yes,Very High,Outstanding,Low,3,11 to 15 years,3,Good,<= 3 years,<= 2 years,None,<= 2 years
7,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Below College,Life Sciences,Very High,Male,High,High,1,Laboratory Technician,High,Divorced,Low,Average,1,No,Very High,Outstanding,Medium,1,<= 6 years,2,Better,<= 3 years,<= 2 years,None,<= 2 years
8,Middle-Age,No,Travel_Frequently,Very High,Research & Development,Very Long,Bachelor,Life Sciences,Very High,Male,Low,Medium,3,Manufacturing Director,Medium,Single,Very High,Average,0,No,Very High,Outstanding,Medium,0,7 to 10 years,2,Better,6 to 9 years,4 to 7 years,1 year,Over 7 years
9,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Bachelor,Medical,High,Male,Very High,High,2,Healthcare Representative,High,Married,High,High,6,No,Average,Excellent,Medium,2,Over 15 years,3,Good,6 to 9 years,4 to 7 years,Over 3 years,4 to 7 years
10,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Bachelor,Medical,Low,Male,Very High,Very High,1,Laboratory Technician,Very High,Married,Low,High,0,No,Average,Excellent,High,1,<= 6 years,5,Better,4 to 5 years,4 to 7 years,None,3 years
11,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,College,Life Sciences,Very High,Female,Average,Medium,2,Laboratory Technician,Medium,Single,Average,Average,0,Yes,Low,Excellent,Very High,0,7 to 10 years,3,Better,6 to 9 years,4 to 7 years,None,Over 7 years
12,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Below College,Life Sciences,Low,Male,Low,High,1,Research Scientist,High,Divorced,Low,High,1,No,High,Excellent,Very High,1,<= 6 years,1,Good,4 to 5 years,<= 2 years,Over 3 years,3 years
13,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,College,Medical,Medium,Male,Very High,High,1,Laboratory Technician,High,Divorced,Low,Average,0,No,Low,Excellent,High,1,<= 6 years,2,Better,<= 3 years,<= 2 years,1 year,<= 2 years
14,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Very Long,Bachelor,Life Sciences,High,Male,Average,Medium,1,Laboratory Technician,Medium,Single,Low,Average,5,Yes,Average,Excellent,Medium,0,<= 6 years,4,Better,4 to 5 years,<= 2 years,None,3 years
15,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Very Long,Master,Life Sciences,Medium,Female,Average,Very High,3,Manufacturing Director,Very High,Divorced,Very High,Average,1,No,Low,Excellent,High,1,7 to 10 years,1,Better,Over 9 years,Over 7 years,Over 3 years,Over 7 years
16,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,College,Life Sciences,Low,Male,High,Very High,1,Research Scientist,Very High,Divorced,Average,High,0,Yes,Low,Excellent,Very High,2,7 to 10 years,5,Good,6 to 9 years,<= 2 years,None,4 to 7 years
17,Young,No,Non-Travel,Very High,Research & Development,Very Long,College,Medical,Very High,Male,Very High,Very High,1,Laboratory Technician,Very High,Divorced,Average,Low,1,Yes,Average,Excellent,Medium,2,<= 6 years,2,Good,<= 3 years,<= 2 years,None,<= 2 years
18,Middle-Age,No,Travel_Rarely,Very High,Sales,Short,Master,Life Sciences,Low,Female,High,Medium,4,Manager,Medium,Married,Very High,Very High,2,No,High,Excellent,High,0,Over 15 years,3,Better,Over 9 years,Over 7 years,2 to 3 years,4 to 7 years
19,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Short,Bachelor,Life Sciences,Very High,Male,Low,High,1,Research Scientist,High,Single,Average,Low,5,Yes,Low,Excellent,High,0,<= 6 years,3,Better,<= 3 years,<= 2 years,1 year,<= 2 years
20,Young,No,Non-Travel,Very High,Research & Development,Long,College,Other,Low,Female,Very High,Very High,2,Manufacturing Director,Very High,Divorced,Average,Average,0,No,High,Excellent,Very High,1,<= 6 years,5,Good,4 to 5 years,<= 2 years,1 year,3 years
21,Middle-Age,Yes,Travel_Rarely,Very High,Sales,Long,Master,Life Sciences,High,Male,High,Medium,1,Sales Representative,Medium,Single,Average,Low,7,No,Very High,Outstanding,Medium,0,7 to 10 years,4,Better,4 to 5 years,3 years,None,3 years
22,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Master,Life Sciences,Low,Female,Average,High,3,Research Director,High,Single,Very High,Very High,0,No,Low,Excellent,High,0,11 to 15 years,4,Better,Over 9 years,4 to 7 years,2 to 3 years,Over 7 years
23,Young,No,Travel_Rarely,Very High,Research & Development,Very Long,College,Life Sciences,High,Male,Very High,High,1,Research Scientist,High,Single,Low,High,1,No,Average,Excellent,Very High,0,<= 6 years,6,Better,<= 3 years,<= 2 years,None,<= 2 years
24,Middle-Age,Yes,Travel_Rarely,Very High,Research & Development,Normal,Below College,Medical,Medium,Male,High,High,1,Research Scientist,High,Single,Average,High,2,No,Low,Excellent,High,0,7 to 10 years,2,Better,4 to 5 years,<= 2 years,1 year,3 years
25,Middle-Age,No,Travel_Rarely,Very High,Research & Development,Normal,Bachelor,Other,High,Female,Average,High,5,Manager,High,Divorced,Very High,Average,4,No,Low,Excellent,Very High,1,Over 15 years,3,Good,Over 9 years,Over 7 years,Over 3 years,Over 7 years
26,Middle-Age,Yes,Travel_Frequently,Very High,Research & Development,Very Long,Below College,Life Sciences,Medium,Female,High,Low,1,Research Scientist,Low,Single,Average,Low,1,Yes,Very High,Outstanding,Medium,0,7 to 10 years,5,Better,Over 9 years,<= 2 years,Over 3 years,4 to 7 years
27,Middle-Age,No,Travel_Rarely,Very High,Sales,Long,Master,Marketing,High,Male,Low,High,2,Sales Executive,High,Married,High,Very High,0,No,Low,Excellent,Very High,1,7 to 10 years,2,Better,6 to 9 years,4 to 7 years,Over 3 years,<= 2 years
